NUMBER	GLOSS
1	head
2	ear
3	nose
4	mouth
5	eye
6	chin
7	head hair
8	beard
9	neck
10	breast
11	belly
12	arm
13	hand
14	right hand
15	left hand
16	finger
17	nail
18	thumb
19	index finger
20	middle finger
21	ring finger
22	little finger
23	thigh
24	knee
25	woman’s breast
26	body
27	person
28	man
29	woman
30	child
31	virgin
32	old person (m.)
33	old person (f.)
34	young person
35	father
36	mother
37	son
38	daughter
39	uncle
40	cousin (female)
41	cousin (male)
42	grandfather
43	grandmother
44	grandson
45	granddaughter
46	loincloth
47	dog
48	pig
49	deer
50	cat
51	rooster
52	hen
53	bird
54	horse
55	cow
56	fish
57	coconut
58	banana
59	sago
60	water
61	house
62	tree
63	bark
64	river
65	sea
66	ship
67	sampan (k.o. boat)
68	paddle
69	fire
70	roof
71	door
72	sun
73	day
74	moon
75	star
76	midday
77	wind
78	current
79	hill
80	mountain
81	flood
82	shield
83	knife k.o.
84	bow
85	arrow
86	cutlass k.o.
87	javelin
88	big
89	small
90	old
91	young
92	male
93	female
94	long
95	short
96	wide
97	narrow
98	beautiful
99	ugly
100	high
101	low
102	north
103	west
104	south
105	east
106	hungry
107	full
108	I
109	you
110	he
111	we
112	they
113	one
114	two
115	three
116	four
117	five
118	six
119	seven
120	eight
121	nine
122	ten
123	eleven
124	twelve
125	thirteen
126	twenty
127	thirty
128	forty
129	fifty
130	sixty
131	seventy
132	eighty
133	ninety
134	one hundred
135	two hundred
136	three hundred
137	four hundred
138	one thousand
139	eat
140	drink
141	sleep
142	sit
143	walk
144	stand
145	wash
146	swim
147	cook
148	climb
149	descend
150	yes
151	no
152	inside
153	outside
154	above
155	beneath
