NUMBER	GLOSS
1	hoofd
2	oor
3	neus
4	mond
5	oog
6	kin
7	hoofdhaar
8	baard
9	hals
10	borst
11	buik
12	arm
13	hand
14	hand rechter
15	hand linker
16	vinger
17	nagel
18	duim
19	wijsvinger
20	midd. vinger
21	ring vinger
22	pink
23	dij
24	knie
25	vrouwenborst
26	lichaam
27	mensch
28	man
29	vrouw
30	kind
31	maagd
32	oud mensch
33	jong mensch
34	vader
35	moeder
36	zoon
37	dochter
38	oom
39	neef (cousin)
40	neef (neven)
41	grootvader
42	grootmoeder
43	kleinzoon
44	kleindochter
45	band om het middel en tusschen de beenen door
46	hond
47	varken
48	hert
49	kat
50	haan
51	kip
52	vogel
53	paard
54	koe
55	visch
56	klappernoot
57	pisang
58	sago
59	water
60	huis
61	boom
62	hout
63	rivier
64	zee
65	schip
66	sampan
67	pagaai
68	vuur
69	dak
70	deur
71	zon
72	dag
73	maan
74	ster
75	middag
76	wind
77	stroom
78	heuvel
79	berg
80	bandjir
81	schild
82	steekmes
83	boog
84	pijl
85	klewang
86	werpspies
87	groot
88	klein
89	oud
90	jong
91	mannelijk
92	vrouwelijk
93	lang
94	kort
95	breed
96	smal
97	mooi
98	leelijk
99	hoog
100	laag
101	noord
102	west
103	zuid
104	oost
105	hongerig
106	verzadigd
107	ik
108	gij
109	hij
110	wij
111	zij
112	1
113	2
114	3
115	4
116	5
117	6
118	7
119	8
120	9
121	10
122	11
123	12
124	13
125	20
126	30
127	40
128	50
129	60
130	70
131	80
132	90
133	100
134	200
135	300
136	400
137	1000
138	eten
139	drinken
140	slapen
141	zitten
142	loopen
143	staan
144	baden
145	zwemmen
146	koken
147	klimmen
148	dalen
149	ja
150	neen
151	binnen
152	buiten
153	boven
154	beneden
