ID	English	Concepticon_ID	Concepticon_Gloss
1	head	1256	HEAD
2	ear	1247	EAR
3	nose	1221	NOSE
4	mouth	674	MOUTH
5	eye	1248	EYE
6	chin	1510	CHIN
7	head hair	2648	HAIR (HEAD)
8	beard	678	BEARD
9	neck	1333	NECK
10	breast	1402	BREAST
11	belly	1251	BELLY
12	arm	1673	ARM
13	hand	1277	HAND
14	right hand	2183	RIGHT HAND
15	left hand	2182	LEFT HAND
16	finger	1303	FINGER
17	nail	1896	FINGERNAIL OR TOENAIL
18	thumb	1781	THUMB
19	index finger	577	FOREFINGER
20	middle finger	3387	MIDDLE FINGER
21	ring finger	1303	FINGER
22	little finger	2774	LITTLE FINGER
23	thigh	471	UPPER LEG (THIGH)
24	knee	1371	KNEE
25	woman’s breast	1402	BREAST
26	body	1480	BODY
27	person	683	PERSON
28	man	1554	MAN
29	woman	962	WOMAN
30	child	2099	CHILD
31	virgin	2298	VIRGIN
32	old person (m.)	725	OLD PERSON
33	old person (f.)	725	OLD PERSON
34	young person	1207	YOUNG
35	father	1217	FATHER
36	mother	1216	MOTHER
37	son	1620	SON
38	daughter	1357	DAUGHTER
39	uncle	1327	UNCLE
40	cousin (female)	3823	FEMALE COUSIN
41	cousin (male)	3822	MALE COUSIN
42	grandfather	1383	GRANDFATHER
43	grandmother	1496	GRANDMOTHER
44	grandson	1618	GRANDSON
45	granddaughter	1619	GRANDDAUGHTER
46	loincloth	1965	LOINCLOTH
47	dog	2009	DOG
48	pig	1337	PIG
49	deer	1936	DEER
50	cat	1208	CAT
51	rooster	1511	ROOSTER
52	hen	1514	HEN
53	bird	937	BIRD
54	horse	615	HORSE
55	cow	1007	COW
56	fish	227	FISH
57	coconut	970	COCONUT
58	banana	868	BANANA
59	sago	2270	SAGO
60	water	948	WATER
61	house	1252	HOUSE
62	tree	906	TREE
63	wood	1803	WOOD
64	river	666	RIVER
65	sea	1474	SEA
66	ship	740	SHIP
67	sampan (k.o. boat)	1844	BOAT
68	paddle	3318	OAR OR PADDLE
69	fire	221	FIRE
70	roof	769	ROOF
71	door	1567	DOOR
72	sun	1343	SUN
73	day	1225	DAY (NOT NIGHT)
74	moon	1313	MOON
75	star	1430	STAR
76	midday	12	MIDDAY
77	wind	960	WIND
78	current	2935	CURRENT (STREAM)
79	hill	614	HILL
80	mountain	639	MOUNTAIN
81	flood	613	HIGH TIDE
82	shield	1064	SHIELD
83	knife k.o.	1352	KNIFE
84	bow	994	BOW
85	arrow	977	ARROW
86	cutlass k.o.	1535	SWORD
87	javelin	945	SPEAR
88	big	1202	BIG
89	small	1246	SMALL
90	old	1229	OLD
91	young	1207	YOUNG
92	male	1553	MALE
93	female	1551	FEMALE
94	long	1203	LONG
95	short	1645	SHORT
96	wide	1243	WIDE
97	narrow	1267	NARROW
98	beautiful	1427	BEAUTIFUL
99	ugly	1548	UGLY
100	high	1265	HIGH
101	low	721	LOW
102	north	1598	NORTH
103	west	1817	WEST
104	south	1595	SOUTH
105	east	1877	EAST
106	hungry	1533	BE HUNGRY
107	full	1429	FULL
108	I	1209	I
109	you	1213	YOU
110	he	1211	HE
111	we	1212	WE
112	they	817	THEY
113	one	1493	ONE
114	two	1498	TWO
115	three	492	THREE
116	four	1500	FOUR
117	five	493	FIVE
118	six	1703	SIX
119	seven	1704	SEVEN
120	eight	1705	EIGHT
121	nine	1483	NINE
122	ten	1515	TEN
123	eleven	1706	ELEVEN
124	twelve	1707	TWELVE
125	thirteen	1708	THIRTEEN
126	twenty	1710	TWENTY
127	thirty	1715	THIRTY
128	forty	1716	FORTY
129	fifty	1717	FIFTY
130	sixty	1718	SIXTY
131	seventy	1721	SEVENTY
132	eighty	1722	EIGHTY
133	ninety	1724	NINETY
134	one hundred	1634	HUNDRED
135	two hundred	2676	TWO HUNDRED
136	three hundred	3513	THREE HUNDRED
137	four hundred	3515	FOUR HUNDRED
138	one thousand	1843	THOUSAND
139	eat	1336	EAT
140	drink	1401	DRINK
141	sleep	1585	SLEEP
142	sit	1416	SIT
143	walk	1443	WALK
144	stand	1442	STAND
145	wash	1453	WASH
146	swim	1439	SWIM
147	cook	1100	COOK (SOMETHING)
148	climb	1102	CLIMB
149	descend	2014	GO DOWN (DESCEND)
150	yes	1268	YES
151	no	1269	NO
152	inside	1606	INSIDE
153	outside	762	OUTSIDE
154	above	1741	ABOVE
155	beneath	1485	BELOW OR UNDER
