Grapheme	IPA	Frequency
aoe	a ʔ u	3
uoe	u ʔ u	2
mb	ʙ	7
ei	ɛi	3
eu	ɛu	20
eû	ɛu	3
eî	ɛi	1
oi	ɔi	2
oe	u	93
oé	u	0
iie	i	0
ie	i	0
ië	i ʔ e	0
aè	aɛ	0
aé	aɛ	0
ai	ai	2
tj	t͡ʃ	1
dj	d͡ʒ	7
th	t͡ʃ	0
ng	ŋ	9
oh	o	4
oö	o ʔ o	0
aä	a ʔ a	0
(ie)h	ç	0
(ai)h	ç	0
(?<!a)ih	ç	6
\-	ʔ	7
 	 	32
\(	(	0
\)	)	0
\/	/	0
\;	;	0
\[	[	0
\]	]	0
a	a	132
à	a	1
ò	ɔ	2
ä		0
ā	aː	3
â	a	13
b	b	27
c	k	3
d	d	32
e	e	15
é	e	6
è	ɛ	10
ë		0
ē	eː	0
ê	e	1
f	f	12
g	g	22
h	h	14
i	i	64
î	i	9
[aiueoé]ï	 ʔ i	3
j	j	10
k	k	4
l	l	54
m	m	24
n	n	33
o	ɔ	29
ô	o	27
ö		0
ó	o	2
p	p	13
r	r	16
s	s	35
t	t	36
u	u	1
w	w	24
