originals	tokenized	transliterated	ipa	ID
é oeloe	é _ oe l oe	e _ u l u	e _ u l u	1
kaliha	k a l i h a	k a l i x a	k a l i ç a	4
éfano	é f a n o	e f a n O	e f a n ɔ	7
ékā	é k ā	e k a a	e k aː	10
ébāka	é b ā k a	e b a a k a	e b aː k a	13
ékie	é k ie	e k i	e k i	16
foedoedoe-oeloe	f oe d oe d oe - oe l oe	f u d u d u ' u l u	f u d u d u ʔ u l u	19
fororoife	f o r o r oi f e	f O r O r o:i f e	f ɔ r ɔ r ɔi f e	22
hoenoe	h oe n oe	h u n u	h u n u	25
émāha	é m ā h a	e m a a h a	e m aː h a	28
kiedāi	k ie d ā i	k i d a a i	k i d aː i	31
é afo	é _ a f o	e _ a f O	e _ a f ɔ	34
mieno afo	m ie n o _ a f o	m i n O _ a f O	m i n ɔ _ a f ɔ	37
mieno afo	m ie n o _ a f o	m i n O _ a f O	m i n ɔ _ a f ɔ	38
mieno afo	m ie n o _ a f o	m i n O _ a f O	m i n ɔ _ a f ɔ	41
mieno	m ie n o	m i n O	m i n ɔ	44
ekaso-afo	e k a s o - a f o	e k a x O ' a f O	e k a ç ɔ ʔ a f ɔ	47
nai-afo	n ai - a f o	n a:i ' a f O	n ai ʔ a f ɔ	50
ejara-afo	e j a r a - a f o	e y a r a ' a f O	e j a r a ʔ a f ɔ	53
éoe-afo	é oe - a f o	e u ' a f O	e u ʔ a f ɔ	55
kiefa éjoe éjoe	k ie f a _ é j oe _ é j oe	k i f a _ e y u _ e y u	k i f a _ e j u _ e j u	58
miieo-afo noekie	m iie o - a f o _ n oe k ie	m i O ' a f O _ n u k i	m i ɔ ʔ a f ɔ _ n u k i	61
épara	é p a r a	e p a r a	e p a r a	64
éfoe	é f oe	e f u	e f u	67
é koko	é _ k o k o	e _ k O k O	e _ k ɔ k ɔ	70
karaha	k a r a h a	k a r a h a	k a r a h a	73
etakka	e t a k k a	e t a k k a	e t a k k a	76
émané	é m a n é	e m a n e	e m a n e	79
éhoda	é h o d a	e h O d a	e h ɔ d a	81
famoa	f a m o a	f a m O a	f a m ɔ a	84
efainama	e f ai n a m a	e f a:i n a m a	e f ai n a m a	87
ekafoe	e k a f oe	e k a f u	e k a f u	90
kaniejahé	k a n ie j a h é	k a n i y a h e	k a n i j a h e	93
fananamie	f a n a n a m ie	f a n a n a m i	f a n a n a m i	96
amama	a m a m a	a m a m a	a m a m a	99
naina	n ai n a	n a:i n a	n ai n a	102
éjara émane	é j a r a _ é m a n e	e y a r a _ e m a n e	e j a r a _ e m a n e	105
éjara éhoda	é j a r a _ é h o d a	e y a r a _ e h O d a	e j a r a _ e h ɔ d a	108
kahoe	k a h oe	k a h u	k a h u	111
à-à	à - à	a ' a	a ʔ a	114
oefoenai	oe f oe n ai	u f u n a:i	u f u n ai	118
oefoenai	oe f oe n ai	u f u n a:i	u f u n ai	119
koöfijoe	k oö f i j oe	k o ' o f i y u	k o ʔ o f i j u	120
koöfijoe	k oö f i j oe	k o ' o f i y u	k o ʔ o f i j u	121
eafie	e a f ie	e a f i	e a f i	122
eafiē	e a f i ē	e a f i e e	e a f i eː	123
kojo	k o j o	k O y O	k ɔ j ɔ	126
ebéo	e b é o	e b e O	e b e ɔ	131
eokeiko émané	e o k ei k o _ é m a n é	e O k e:i k O _ e m a n e	e ɔ k ɛi k ɔ _ e m a n e	134
eokeiko ehoeda	e o k ei k o _ e h oe d a	e O k e:i k O _ e h u d a	e ɔ k ɛi k ɔ _ e h u d a	137
eke-èfe	e k e - è f e	e k e ' E f e	e k e ʔ ɛ f e	140
e ajo	e _ a j o	e _ a y O	e _ a j ɔ	147
effô	e f f ô	e f f o	e f f o	150
iedjo	ie dj o	i j O	i d͡ʒ ɔ	153
ebbo	e b b o	e b b O	e b b ɔ	158
oeba	oe b a	u b a	u b a	161
kahara koewo	k a h a r a _ k oe w o	k a h a r a _ k u w O	k a h a r a _ k u w ɔ	164
ekoewo	e k oe w o	e k u w O	e k u w ɔ	167
iebo	ie b o	i b O	i b ɔ	169
éoewé	é oe w é	e u w e	e u w e	172
eoeba-kiemo	e oe b a - k ie m o	e u b a ' k i m O	e u b a ʔ k i m ɔ	175
elohoa	e l oh o a	e l o O a	e l o ɔ a	178
eodjie	e o dj ie	e O j i	e ɔ d͡ʒ i	181
ejobie	e j o b ie	e y O b i	e j ɔ b i	184
oekoe-oeba	oe k oe - oe b a	u k u ' u b a	u k u ʔ u b a	187
karoebe	k a r oe b e	k a r u b e	k a r u b e	190
kaha	k a h a	k a h a	k a h a	193
lakieho	l a k ie h o	l a k i x O	l a k i ç ɔ	196
ekanoa	e k a n o a	e k a n O a	e k a n ɔ a	199
éfé odā	é f é _ o d ā	e f e _ O d a a	e f e _ ɔ d aː	202
paroheije	p a r oh ei j e	p a r o e:i y e	p a r o ɛi j e	205
ekiejoe	e k ie j oe	e k i y u	e k i j u	208
kaha kakie	k a h a _ k a k ie	k a h a _ k a k i	k a h a _ k a k i	211
ekohé	e k oh é	e k o e	e k o e	214
ekohé	e k oh é	e k o e	e k o e	217
kaoedoe doewe	k aoe d oe _ d oe w e	k a ' u d u _ d u w e	k a ʔ u d u _ d u w e	220
ékieahe	é k ie a h e	e k i a h e	e k i a h e	223
ékieahe	é k ie a h e	e k i a h e	e k i a h e	226
efiekofieko	e f ie k o f ie k o	e f i k O f i k O	e f i k ɔ f i k ɔ	229
epiéko	e p i é k o	e p i e k O	e p i e k ɔ	232
epiéko	e p i é k o	e p i e k O	e p i e k ɔ	233
feitjie	f ei tj ie	f e:i c i	f ɛi t͡ʃ i	234
ekajo	e k a j o	e k a y O	e k a j ɔ	236
a-ieje	a - ie j e	a ' i y e	a ʔ i j e	237
noekie	n oe k ie	n u k i	n u k i	240
éā	é ā	e a a	e aː	243
eahanieje	e a h a n ie j e	e a h a n i y e	e a h a n i j e	246
émané	é m a n é	e m a n e	e m a n e	249
éhoeda	é h oe d a	e h u d a	e h u d a	251
aieje-noe	a ie j e - n oe	a i y e ' n u	a i j e ʔ n u	253
kakoewo	k a k oe w o	k a k u w O	k a k u w ɔ	256
aieja foho	a ie j a _ f oh o	a i y a _ f o O	a i j a _ f o ɔ	259
noekie foho	n oe k ie _ f oh o	n u k i _ f o O	n u k i _ f o ɔ	262
kaoewe	k aoe w e	k a ' u w e	k a ʔ u w e	263
kieohé	k ie oh é	k i o e	k i o e	266
ietjébé	ie tj é b é	i c e b e	i t͡ʃ e b e	269
ietofo	ie t o f o	i t O f O	i t ɔ f ɔ	272
éaba	é a b a	e a b a	e a b a	279
hobelélé	h o b e l é l é	h O b e l e l e	h ɔ b e l e l e	282
oewa	oe w a	u w a	u w a	285
oh	oh	o	o	289
kieja	k ie j a	k i y a	k i j a	293
ieka	ie k a	i k a	i k a	296
kieja	k ie j a	k i y a	k i j a	301
kahaie	k a h a ie	k a h a i	k a h a i	304
adoewa	a d oe w a	a d u w a	a d u w a	307
akoloe	a k o l oe	a k O l u	a k ɔ l u	310
afa	a f a	a f a	a f a	313
alieba	a l ie b a	a l i b a	a l i b a	316
kaikiene	k ai k ie n e	k a:i k i n e	k ai k i n e	319
aliebe é adoewa	a l ie b e _ é _ a d oe w a	a l i b e _ e _ a d u w a	a l i b e _ e _ a d u w a	322
afa é afa	a f a _ é _ a f a	a f a _ e _ a f a	a f a _ e _ a f a	325
aliebe é afa	a l ie b e _ é _ a f a	a l i b e _ e _ a f a	a l i b e _ e _ a f a	328
kahafoeloe	k a h a f oe l oe	k a h a f u l u	k a h a f u l u	331
kahafoeloe é kehaie	k a h a f oe l oe _ é _ k e h a ie	k a h a f u l u _ e _ k e h a i	k a h a f u l u _ e _ k e h a i	334
kahafoeloe é adoewa	k a h a f oe l oe _ é _ a d oe w a	k a h a f u l u _ e _ a d u w a	k a h a f u l u _ e _ a d u w a	337
kahafoeloe é akoloe	k a h a f oe l oe _ é _ a k o l oe	k a h a f u l u _ e _ a k O l u	k a h a f u l u _ e _ a k ɔ l u	340
kahaie takka	k a h a ie _ t a k k a	k a h a i _ t a k k a	k a h a i _ t a k k a	343
kahaie takka é kahafoeloe	k a h a ie _ t a k k a _ é _ k a h a f oe l oe	k a h a i _ t a k k a _ e _ k a h a f u l u	k a h a i _ t a k k a _ e _ k a h a f u l u	346
adoewa takka	a d oe w a _ t a k k a	a d u w a _ t a k k a	a d u w a _ t a k k a	349
adoewa takka é kahafoeloe	a d oe w a _ t a k k a _ é _ k a h a f oe l oe	a d u w a _ t a k k a _ e _ k a h a f u l u	a d u w a _ t a k k a _ e _ k a h a f u l u	352
akoloe takka	a k o l oe _ t a k k a	a k O l u _ t a k k a	a k ɔ l u _ t a k k a	355
akoloe takka é kahafoeloe	a k o l oe _ t a k k a _ é _ k a h a f oe l oe	a k O l u _ t a k k a _ e _ k a h a f u l u	a k ɔ l u _ t a k k a _ e _ k a h a f u l u	358
afa takka	a f a _ t a k k a	a f a _ t a k k a	a f a _ t a k k a	361
afa takka é kahafoeloe	a f a _ t a k k a _ é _ k a h a f oe l oe	a f a _ t a k k a _ e _ k a h a f u l u	a f a _ t a k k a _ e _ k a h a f u l u	364
alieba takka	a l ie b a _ t a k k a	a l i b a _ t a k k a	a l i b a _ t a k k a	367
kahafoeloe takka	k a h a f oe l oe _ t a k k a	k a h a f u l u _ t a k k a	k a h a f u l u _ t a k k a	370
kahafoeloe é alieba  takka	k a h a f oe l oe _ é _ a l ie b a _ _ t a k k a	k a h a f u l u _ e _ a l i b a _ _ t a k k a	k a h a f u l u _ e _ a l i b a _ _ t a k k a	372
kahaie kadodoka	k a h a ie _ k a d o d o k a	k a h a i _ k a d O d O k a	k a h a i _ k a d ɔ d ɔ k a	374
adoewa kadodoka	a d oe w a _ k a d o d o k a	a d u w a _ k a d O d O k a	a d u w a _ k a d ɔ d ɔ k a	375
meno	m e n o	m e n O	m e n ɔ	378
ietho	ie th o	i c O	i t͡ʃ ɔ	381
abawoehe	a b a w oe h e	a b a w u h e	a b a w u h e	384
hèkoe	h è k oe	h E k u	h ɛ k u	387
kekokoje	k e k o k o j e	k e k O k O y e	k e k ɔ k ɔ j e	390
kaèno	k aè n o	k a:e n O	k aɛ n ɔ	393
kabaike	k a b ai k e	k a b a:i k e	k a b ai k e	396
kaäke	k aä k e	k a ' a k e	k a ʔ a k e	398
faboehe	f a b oe h e	f a b u h e	f a b u h e	401
bahèle	b a h è l e	b a h E l e	b a h ɛ l e	404
katofo	k a t o f o	k a t O f O	k a t ɔ f ɔ	407
o!	o !	O !	ɔ !	410
kèwa	k è w a	k E w a	k ɛ w a	413
kèfo	k è f o	k E f O	k ɛ f ɔ	416
ietofo	ie t o f o	i t O f O	i t ɔ f ɔ	419
ietebe	ie t e b e	i t e b e	i t e b e	421
ietofo	ie t o f o	i t O f O	i t ɔ f ɔ	424
