originals	tokenized	transliterated	ipa	ID
oté	o t é	O t e	ɔ t e	2
talinga	t a l i ng a	t a l i ng a	t a l i ŋ a	5
asak	a s a k	a s a k	a s a k	8
bibo	b i b o	b i b O	b i b ɔ	11
mata	m a t a	m a t a	m a t a	14
bakĕla	b a k ĕ l a	b a k e l a	b a k e l a	17
alai	a l ai	a l a:i	a l ai	20
boeloe	b oe l oe	b u l u	b u l u	23
lolokat	l o l o k a t	l O l O k a t	l ɔ l ɔ k a t	26
karoekat	k a r oe k a t	k a r u k a t	k a r u k a t	29
bācha	b ā c h a	b a a k h a	b aː k h a	32
para	p a r a	p a r a	p a r a	35
takip kétjo	t a k i p # k é tj o	t a k i p # k e c O	t a k i p # k e t͡ʃ ɔ	39
takip toëk	t a k i p # t o ë k	t a k i p # t O ë k	t a k i p # t ɔ k	42
siñgoñgai	s i ñg o ñg ai	s i ñg O ñg a:i	s i ŋ ɔ ŋ ai	45
soelet	s oe l e t	s u l e t	s u l e t	48
sikeboe	s i k e b oe	s i k e b u	s i k e b u	51
benang seoe	b e n a ng # s e oe	b e n a ng # s e u	b e n a ŋ # s e u	54
katenga	k a t e ng a	k a t e ng a	k a t e ŋ a	56
bagit katenga	b a g i t # k a t e ng a	b a g i t # k a t e ng a	b a g i t # k a t e ŋ a	59
tôtjingongai	t ô tj i ng o ng ai	t o c i ng O ng a:i	t o t͡ʃ i ŋ ɔ ŋ ai	62
pekâpat	p e k â p a t	p e k a p a t	p e k a p a t	65
bôkelô	b ô k e l ô	b o k e l o	b o k e l o	68
tôtôt	t ô t ô t	t o t o t	t o t o t	71
toeboe	t oe b oe	t u b u	t u b u	74
sekalelègat	s e k a l e l è g a t	s e k a l e l E g a t	s e k a l e l ɛ g a t	77
nenalep	n e n a l e p	n e n a l e p	n e n a l e p	82
tôga	t ô g a	t o g a	t o g a	85
sjôkô	s j ô k ô	s y o k o	s j o k o	88
bâdja	b â dj a	b a j a	b a d͡ʒ a	91
bâdja	b â dj a	b a j a	b a d͡ʒ a	94
soelè	s oe l è	s u l E	s u l ɛ	97
oekoei	oe k o ei	u k O e:i	u k ɔ ɛi	100
manda ina	m a n d a # i n a	m a n d a # i n a	m a n d a # i n a	103
tôga semanteoe	t ô g a # s e m a n t e oe	t o g a # s e m a n t e u	t o g a # s e m a n t e u	106
sinanalep	s i n a n a l e p	s i n a n a l e p	s i n a n a l e p	109
pamâman	p a m â m a n	p a m a m a n	p a m a m a n	112
boea	b oe a	b u a	b u a	115
djôhdjôh	dj ô h dj ô h	j o h j o h	d͡ʒ o h d͡ʒ o h	124
sikôko	s i k ô k o	s i k o k O	s i k o k ɔ	127
semasoera	s e m a s oe r a	s e m a s u r a	s e m a s u r a	129
maoe	m aoe	m a ' u	m a ʔ u	132
gôgô eilaloek	g ô g ô # ei l a l oe k	g o g o # e:i l a l u k	g o g o # ɛi l a l u k	135
gôgô semanosa	g ô g ô # s e m a n o s a	g o g o # s e m a n O s a	g o g o # s e m a n ɔ s a	138
oĕwă	oĕ w ă	u w a	u w a	141
koerô	k oe r ô	k u r o	k u r o	143
djawi	dj a w i	j a w i	d͡ʒ a w i	145
kâ	k â	k a	k a	148
toitet	t oi t e t	t o:i t e t	t ɔi t e t	151
bagô	b a g ô	b a g o	b a g o	154
sagai	s a g ai	s a g a:i	s a g ai	156
jôja	j ô j a	y o y a	j o j a	159
oêmâ	o ê m â	O e m a	ɔ e m a	162
bâkat	b â k a t	b a k a t	b a k a t	165
