originals	tokenized	transliterated	ipa	ID
heugen	h eu g e n	h e:u g e n	h ɛu g e n	3
talinga	t a l i ng a	t a l i ng a	t a l i ŋ a	6
idong	i d o ng	i d O ng	i d ɔ ŋ	9
baba	b a b a	b a b a	b a b a	12
mata	m a t a	m a t a	m a t a	15
bèmbè	b è mb è	b E mb E	b ɛ ʙ ɛ	18
boe-oe	b oe - oe	b u ' u	b u ʔ u	21
gambi	g a mb i	g a mb i	g a ʙ i	24
bâgi	b â g i	b a g i	b a g i	27
baloedjoeso	b a l oe dj oe s o	b a l u j u s O	b a l u d͡ʒ u s ɔ	30
daloe	d a l oe	d a l u	d a l u	33
païo	p a ï o	p a ' i O	p a ʔ i ɔ	36
tangan gambolo	t a ng a n # g a mb o l o	t a ng a n # g a mb O l O	t a ŋ a n # g a ʙ ɔ l ɔ	40
tangan gambéra	t a ng a n # g a mb é r a	t a ng a n # g a mb e r a	t a ŋ a n # g a ʙ e r a	43
toeroe	t oe r oe	t u r u	t u r u	46
tèsâa	t è s â a	t E s a a	t ɛ s a a	49
toeroe siâ	t oe r oe # s i â	t u r u # s i a	t u r u # s i a	52
toeroe wadâloe	t oe r oe # w a d â l oe	t u r u # w a d a l u	t u r u # w a d a l u	57
toeroe taloe	t oe r oe # t a l oe	t u r u # t a l u	t u r u # t a l u	60
toeroe sideïdei	t oe r oe # s i d e ï d ei	t u r u # s i d e ' i d e:i	t u r u # s i d e ʔ i d ɛi	63
gai	g ai	g a:i	g ai	66
baloedoeho	b a l oe d oe h o	b a l u d u h O	b a l u d u h ɔ	69
doesoe	d oe s oe	d u s u	d u s u	72
bôtô	b ô t ô	b o t o	b o t o	75
nîha	n î h a	n i h a	n i h a	78
nîha simatoea	n î h a # s i m a t oe a	n i h a # s i m a t u a	n i h a # s i m a t u a	80
nîha sihalāwé	n î h a # s i h a l ā w é	n i h a # s i x a l a a w e	n i h a # s i ç a l aː w e	83
iraônô	i r a ô n ô	i r a o n o	i r a o n o	86
ira labè	i r a # l a b è	i r a # l a b E	i r a # l a b ɛ	89
niha satoewa	n i h a # s a t oe w a	n i x a # s a t u w a	n i ç a # s a t u w a	92
niha satoewa	n i h a # s a t oe w a	n i x a # s a t u w a	n i ç a # s a t u w a	95
niha sakaboejoe	n i h a # s a k a b oe j oe	n i x a # s a k a b u y u	n i ç a # s a k a b u j u	98
ama	a m a	a m a	a m a	101
ina	i n a	i n a	i n a	104
iraeumeu simatoewa	i r a eu m eu # s i m a t oe w a	i r a e:u m e:u # s i m a t u w a	i r a ɛu m ɛu # s i m a t u w a	107
iraeumeu sihalāwè	i r a eu m eu # s i h a l ā w è	i r a e:u m e:u # s i x a l a a w E	i r a ɛu m ɛu # s i ç a l aː w ɛ	110
anasiaki	a n a s i a k i	a n a s i a k i	a n a s i a k i	113
talifoeso	t a l i f oe s o	t a l i f u s O	t a l i f u s ɔ	116
onowinîo	o n o w i n î o	O n O w i n i O	ɔ n ɔ w i n i ɔ	117
asoe	a s oe	a s u	a s u	125
babi	b a b i	b a b i	b a b i	128
beuheu	b eu h eu	b e:u h e:u	b ɛu h ɛu	130
maoe	m aoe	m a ' u	m a ʔ u	133
manoe tjilatao	m a n oe # tj i l a t a o	m a n u # c i l a t a O	m a n u # t͡ʃ i l a t a ɔ	136
manoe sipagèlo	m a n oe # s i p a g è l o	m a n u # s i p a g E l O	m a n u # s i p a g ɛ l ɔ	139
pòpò	p ò p ò	p O p O	p ɔ p ɔ	142
goerô	g oe r ô	g u r o	g u r o	144
djawi	dj a w i	j a w i	d͡ʒ a w i	146
gîa	g î a	g i a	g i a	149
banîo	b a n î o	b a n i O	b a n i ɔ	152
gâhé	g â h é	g a h e	g a h e	155
sagoe	s a g oe	s a g u	s a g u	157
idaneu	i d a n eu	i d a n e:u	i d a n ɛu	160
nômô	n ô m ô	n o m o	n o m o	163
embôrô	e mb ô r ô	e mb o r o	e ʙ o r o	166
geoe	g e oe	g e u	g e u	168
loeâha	l oe â h a	l u a h a	l u a h a	171
nâsi	n â s i	n a s i	n a s i	174
nôwô	n ô w ô	n o w o	n o w o	177
toendaha	t oe n d a h a	t u n d a h a	t u n d a h a	180
galoega	g a l oe g a	g a l u g a	g a l u g a	183
galîtah	g a l î t a h	g a l i t a h	g a l i t a h	186
poeloedjakoe	p oe l oe dj a k oe	p u l u j a k u	p u l u d͡ʒ a k u	189
babandoewo	b a b a n d oe w o	b a b a n d u w O	b a b a n d u w ɔ	192
mataloeoh	m a t a l oe oh	m a t a l u o	m a t a l u o	195
loeoh	l oe oh	l u o	l u o	198
bâwa	b â w a	b a w a	b a w a	201
dôfi	d ô f i	d o f i	d o f i	204
tengaloeoh	t e ng a l oe oh	t e ng a l u o	t e ŋ a l u o	207
nangi	n a ng i	n a ng i	n a ŋ i	210
idaneu sabè-è	i d a n eu # s a b è - è	i d a n e:u # s a b E ' E	i d a n ɛu # s a b ɛ ʔ ɛ	213
ili sideidei	i l i # s i d ei d ei	i l i # s i d e:i d e:i	i l i # s i d ɛi d ɛi	216
ili siboea	i l i # s i b oe a	i l i # s i b u a	i l i # s i b u a	219
môloe siboea	m ô l oe # s i b oe a	m o l u # s i b u a	m o l u # s i b u a	222
dangé	d a ng é	d a ng e	d a ŋ e	225
toelo toeloe	t oe l o # t oe l oe	t u l O # t u l u	t u l ɔ # t u l u	228
boeloesèwa	b oe l oe s è w a	b u l u s E w a	b u l u s ɛ w a	231
toho telègoe	t oh o # t e l è g oe	t o O # t e l E g u	t o ɔ # t e l ɛ g u	235
siboea	s i b oe a	s i b u a	s i b u a	239
déï deî	d é ï # d eî	d e ' i # d e:i	d e ʔ i # d ɛi	242
satoewa	s a t oe w a	s a t u w a	s a t u w a	245
sikaboejoe	s i k a b oe j oe	s i k a b u y u	s i k a b u j u	248
simatoewa	s i m a t oe w a	s i m a t u w a	s i m a t u w a	250
sihalāwé	s i h a l ā w é	s i x a l a a w e	s i ç a l aː w e	252
enaoe	e n aoe	e n a ' u	e n a ʔ u	255
dogo dogo	d o g o # d o g o	d O g O # d O g O	d ɔ g ɔ # d ɔ g ɔ	258
ebeûlo	e b eû l o	e b e:u l O	e b ɛu l ɔ	261
seuchi	s eu c h i	s e:u k h i	s ɛu k h i	265
leu-eu seuchi	l eu - eu # s eu c h i	l e:u ' e:u # s e:u k h i	l ɛu ʔ ɛu # s ɛu k h i	268
enaoe	e n aoe	e n a ' u	e n a ʔ u	271
dogo dogo	d o g o # d o g o	d O g O # d O g O	d ɔ g ɔ # d ɔ g ɔ	274
alófó daloe	a l ó f ó # d a l oe	a l o f o # d a l u	a l o f o # d a l u	281
aboesoe daloe	a b oe s oe # d a l oe	a b u s u # d a l u	a b u s u # d a l u	284
jaôdô	j a ô d ô	y a o d o	j a o d o	287
eû	eû	e:u	ɛu	291
jaôgô	j a ô g ô	y a o g o	j a o g o	292
ja îja	j a # î j a	y a # i y a	j a # i j a	295
ja-itanda	j a - i t a n d a	y a ' i t a n d a	j a ʔ i t a n d a	298
iaôgô	i a ô g ô	i a o g o	i a o g o	300
ia-ija	i a - i j a	i a ' i y a	i a ʔ i j a	303
sara	s a r a	s a r a	s a r a	306
doewa	d oe w a	d u w a	d u w a	309
teuloe	t eu l oe	t e:u l u	t ɛu l u	312
ôfa	ô f a	o f a	o f a	315
lima	l i m a	l i m a	l i m a	318
eôneû	e ô n eû	e o n e:u	e o n ɛu	321
fitoe	f i t oe	f i t u	f i t u	324
waloe	w a l oe	w a l u	w a l u	327
siwa	s i w a	s i w a	s i w a	330
foeloe	f oe l oe	f u l u	f u l u	333
filisara	f i l i s a r a	f i l i s a r a	f i l i s a r a	336
filidoewa	f i l i d oe w a	f i l i d u w a	f i l i d u w a	339
fili deuloe	f i l i # d eu l oe	f i l i # d e:u l u	f i l i # d ɛu l u	342
doewapoeloe	d oe w a p oe l oe	d u w a p u l u	d u w a p u l u	345
teuloepoeloe	t eu l oe p oe l oe	t e:u l u p u l u	t ɛu l u p u l u	348
ofapoeloe	o f a p oe l oe	O f a p u l u	ɔ f a p u l u	351
limapoeloe	l i m a p oe l oe	l i m a p u l u	l i m a p u l u	354
eônêupoeloe	e ô n ê u p oe l oe	e o n e u p u l u	e o n e u p u l u	357
fitoepoeloe	f i t oe p oe l oe	f i t u p u l u	f i t u p u l u	360
waloepoeloe	w a l oe p oe l oe	w a l u p u l u	w a l u p u l u	363
siwapoeloe	s i w a p oe l oe	s i w a p u l u	s i w a p u l u	366
ôtoe	ô t oe	o t u	o t u	369
nahônô	n a h ô n ô	n a h o n o	n a h o n o	377
manga	m a ng a	m a ng a	m a ŋ a	380
membâdoe	m e mb â d oe	m e mb a d u	m e ʙ a d u	383
meureu	m eu r eu	m e:u r e:u	m ɛu r ɛu	386
dedâo	d e d â o	d e d a O	d e d a ɔ	389
moefano	m oe f a n o	m u f a n O	m u f a n ɔ	392
madjidjîo	m a dj i dj î o	m a j i j i O	m a d͡ʒ i d͡ʒ i ɔ	395
melângi	m e l â ng i	m e l a ng i	m e l a ŋ i	400
membôi	m e mb ô i	m e mb o i	m e ʙ o i	403
moi djàwa	m oi # dj à w a	m o:i # j a w a	m ɔi # d͡ʒ a w a	406
moi tauoe	m oi # t a uoe	m o:i # t a u ' u	m ɔi # t a u ʔ u	409
ja-ija	j a - i j a	y a ' i y a	j a ʔ i j a	412
leu-eu	l eu - eu	l e:u ' e:u	l ɛu ʔ ɛu	415
bâcha	b â c h a	b a k h a	b a k h a	418
bairô	b ai r ô	b a:i r o	b ai r o	420
djâwa	dj â w a	j a w a	d͡ʒ a w a	423
tauoe	t a uoe	t a u ' u	t a u ʔ u	426
